id;mobile_number;otp_value;created_date;send_date;delivered;verified;tries_count;response
1;valuable version unfortunate;upside-down;2025-04-15T14:15:33;2025-04-15T08:22:21;28971;30877;5368;vol eek
2;inquisitively rebuke;poetry;2025-04-15T12:13:20;2025-04-15T11:34:29;9037;9224;30779;commemorate
3;round;augment after;2025-04-14T22:22:19;2025-04-15T07:38:35;20720;8177;30133;badly whereas finger
4;meh;precious;2025-04-15T19:19:01;2025-04-15T04:53:24;25388;8382;5933;malfunction whenever lest
5;opposite;because wide-eyed;2025-04-15T01:51:55;2025-04-15T06:39:35;32518;24186;4190;forearm aha pace
6;mmm or;headline stall triumphantly;2025-04-15T00:24:45;2025-04-15T00:41:30;23279;16721;17011;within cooperative above
7;headline official;briefly strategy windy;2025-04-15T17:02:51;2025-04-15T00:43:55;13148;21027;19502;doing bright
8;roughly hmph;hmph pant;2025-04-15T07:26:49;2025-04-15T14:20:20;28540;20832;29654;ha hence
9;nervously freckle;but whoever gee;2025-04-14T23:48:20;2025-04-15T04:03:51;18470;18825;27127;wherever distorted
10;farmer;exploration;2025-04-15T09:52:23;2025-04-15T02:55:46;27081;14555;15795;nicely but weep
